分野,性別,年齢,居住地区,市民の声,ラベル
都市基盤の整備について,男性,60~69歳,唐子地区,道路整備や下水道整備について、予算のこともあるでしょうが現実的に困っている地域があります。若い世代の転入を望んでも環境条件で入ってもらえません。市の基準を全面に出して手を出さないのではなく、東松山市を住み良い街にするために市の中心部以外にも目配りをしていただきたいと思います。その結果で東松山市の評価が上がるのだと思います。,0
都市基盤の整備について,女性,60~69歳,松山地区,電動カーを使い歩道を利用して買い物をしていますが、道がでこぼこで安定感が悪く、又、今の時季、両側にススキがおいしげり、とても不便に感じています。市は県に対して携わる事ができないのでしょうか?,0
都市基盤の整備について,女性,60~69歳,平野地区,最近市内中心部の一部で歩道の改修工事が行われていましたが、私の住む市のはずれの方では歩道のないところがたくさんあります。通学路でさえ危ない所があります。子どもや老人にとって安心して通学や買い物に行けるよう市の全体的に歩道整備をより進めていただけますようよろしくお願いいたします。,0
都市基盤の整備について,男性,70~79歳,野本地区,市役所の庁舎移転について現在の場所は全体的に不便を感じています。将来的にはもっと広い場所に移転した方が良いと思っています。,0
都市基盤の整備について,女性,70~79歳,松山地区,幸町の通学路に雨の後水はけが悪く子供達が大変困っているので改善して欲しい。,0
都市基盤の整備について,女性,70~79歳,平野地区,市役所や総合会館、保健センター、商工会など全部まとめて1ヶ所で、やって頂きたい。そして、その中に、ホールとか、発表する施設があっても、良いのではないかと思う。,0
都市基盤の整備について,女性,70~79歳,唐子地区,下水道の整備をしてもらいたいです。,0
都市基盤の整備について,女性,80歳以上,松山地区,免許証返上しても困らない市のバス停留所を増やして下さい。特に松山町2丁目付近はバスが来ない。,0
都市基盤の整備について,女性,80歳以上,松山地区,車の免許、返納したいのですがたちまち生活に支障をきたします。駅に行くバスを増やして欲しいです。老人一人暮しには病院とスーパーへの足が一番欲しいです。周りの友人も皆同じ事を言い嘆いています。,0
駅周辺や商店街の活性化について,女性,18~19歳,松山地区,市役所周辺の住まいですが、近くにスーパーがなくなってしまうので、食材を買うのが大変になってしまうので、スーパーが近くに出来たらうれしいです。,1
駅周辺や商店街の活性化について,女性,30~39歳,唐子地区,ハロウィンウォークはもうしないのか? 子供と一緒に参加できるイベントを増やしてほしい。,1
駅周辺や商店街の活性化について,女性,40~49歳,松山地区,ぼたん通りがもっと活気あるといいなと思います。東松山市はお店をやるのが大変な気がします。もっと若い人に来てもらえる町になって欲しいです。住みやすさはダントツです!!,1
駅周辺や商店街の活性化について,男性,50~59歳,松山地区,若者が集まる施設が少ない気がする。駅前通りの商業施設の充実をしてほしい。,1
駅周辺や商店街の活性化について,女性,50~59歳,松山地区,多くの人が期待するようなコストコや人気店が入るイオンモールなど大きな商業施設があると良いかと。,1
駅周辺や商店街の活性化について,女性,50~59歳,唐子地区,丸広が閉店してしまい、ぼたん通り~丸広通りに食料品や日用品を扱うお店がありません。ビバはありますが、東松山市の中心の賑わいがなくなってしまった様に感じます。高坂ばかりでなく、人が集まるような魅力的な通りに転換させていただきたいです。,1
駅周辺や商店街の活性化について,男性,60~69歳,松山地区,駅or丸広のあった場所が高級デパートの誘致、駅から市役所までの道路の整備、外国人観光客を呼び込み為のホテルとバスの充実・東松山駅に駅ビル(商業施設、市の施設) があると良い。近隣から高校生も一定数おり、若者も入りやすい施設があると来やすくなり、又、災害時など、駅周辺に一時的にいられる場所があると助かる。(ビバモールもあるが、若干遠い),1
駅周辺や商店街の活性化について,女性,60~69歳,松山地区,駅前が活気がなく、さびしい感じがする。まるひろもなくなり市内が閑散としている。駅周辺の道路ばかりが整備されて、幹線道路以外は直してもらえず、格差がひどいと思います。ずっと住みたいと思える東松山市になるといいなと思いながらアンケートに答えました。,1
駅周辺や商店街の活性化について,女性,60~69歳,松山地区,駅周辺に買い物(食品、日用雑貨、ファッション)できるショッピングモールが出来ると良いと思います。,1
駅周辺や商店街の活性化について,女性,60~69歳,松山地区,まる広百貨店が閉店したので、閑散と感じてます。それを埋める事ができるような、代替のシンボルができるようなまちづくりを希望します。,1
駅周辺や商店街の活性化について,女性,70~79歳,松山地区,東松山駅周辺に活気がないと感じる。近隣の人も東松山に行ってみたいと思える店、飲食店が欲しい。商工会にもっとがんばって欲しい。,1
駅周辺や商店街の活性化について,女性,70~79歳,松山地区,東松山駅の周りに魅力あるお店が少ない、めずらしいやきとりの町と言うがお酒を飲む人に限定され家族で食事が出きるお店を増やしてほしい。道路だけ広がり駅から市役所の間はこれからどうなるのでしょうか、特に丸広なくなり寂しい市になりました。市、商工会、商店の方がんばっていただきたいです。,1
駅周辺や商店街の活性化について,女性,70~79歳,大岡地区,50年近く住んでいますが、閉店する店など多く活気がある地域と無い地域の差が激しい。,1
駅周辺や商店街の活性化について,女性,70~79歳,平野地区,「まるひろ」もなくなるし、ぼたん通り商店街が寂しいので、もう少し活気ある商店街にして転入者が増える東松山市にして欲しい。,1
環境について,女性,30~39歳,松山地区,野良猫なのか飼い猫なのかわかりませんが、敷地内に糞をされるのがとても嫌です。野良猫は保護をして頂きたいです。飼い猫は飼い主指導をして欲しいです。,2
環境について,男性,40~49歳,唐子地区,東松山市周辺がアパート・マンション・ホテル・道路工事等々いろいろなことで発展し市内へ観光者を呼びこむことがかなり良いことだが、自然がどんどん減り続けて行くことがどうしても残念としか思えません。なので、草木花の手入れが必ず必要です。街路樹を伐採しても良いがどこか違う場所でもいいので、木、草花も植え続けてほしいと願います。,2
環境について,男性,60~69歳,唐子地区,田畑の無耕作地がもったいない、利用されていない、遊休地を有効にしてほしい、近隣の空き地は名もある草が元気すぎて、みっともない。そこには空き家もある。朽ち果てるのを待つばかりである。(個人の問題だからどうしようもないのかと思う) 都幾川の河川敷の利用方法があまりなされていない。氾濫等の整備を進めているのは大変ありがたい。水の制御を考えたうえでの利用法をお願いしたい。(厳しいかも),2
環境について,女性,60~69歳,唐子地区,空き家になっている家を見回りして、他人に迷惑になっている家を見て、持ち主に連絡してほしい。,2
環境について,男性,70~79歳,大岡地区,東松山市は市内全体を見ても自然が豊かで、環境に恵まれた地域だと思います。ですので商業圏と環境保全とのバランスのとれた政策を望みます。,2
防災・防犯・安全について,男性,30~39歳,松山地区,水害が怖いため、河川の治水対策に力を入れていただきたい,3
防災・防犯・安全について,女性,30~39歳,松山地区,大雨の日の冠水、災害に弱いので整備強化してもらいたい。それ以外は充実しています。,3
防災・防犯・安全について,男性,40~49歳,松山地区,大雨の際、自宅前が浸水してしまいます。排水機能を向上させて頂きたいです。,3
防災・防犯・安全について,男性,50~59歳,松山地区,夜は、暗い為外灯を増やして欲しいです。,3
防災・防犯・安全について,女性,50~59歳,高坂地区,台風災害以降、川の整備対策をしていただき安心して生活できている,3
防災・防犯・安全について,女性,70~79歳,松山地区,自転車の交通安全を充実して欲しい,3
保健・医療・福祉について,男性,30~39歳,松山地区,子育て支援を充実させてほしい、産後ケア内容も他の市に比べると微妙。東松山独自の”出産応援””子育て支援”を打ち出せば移住したり、子供をもう一人生もうと思えるかもしれません。,4
保健・医療・福祉について,男性,30~39歳,唐子地区,若者の転入を増やすため、子育て支援や住宅取得に対する支援をもっと充実させてほしい。,4
保健・医療・福祉について,女性,30~39歳,松山地区,子供支援に力を入れてほしいです。小児科の数、産婦人科の数がとても少なくいつも混み合っているのでもう少し増えてくれるとたすかります。医療にも力を入れてもらえるとたすかります。子供どうよう大人が行ける病院が少ないので医療水準の高い病院が増えてくれるとわざわざ市外まで行なくてもすむのでご検討よろしくお願いいたします。,4
保健・医療・福祉について,女性,30~39歳,松山地区,保育所は確保、充実してきましたが、次は学童保育に目を向けてください。狭い施設内、環境的に良いものとは言えない中子どもたちを懸命に指導員さんがみてくださっています。市はここにお金を払うべきです。未来ある子どものためにお金を使うなら、児童館や施設などばかりでなく、日常的に使う子どものための施設は学童です。,4
保健・医療・福祉について,女性,30~39歳,高坂地区,自然が多く地区の行事やイベントなど参加できるものが色々あり楽しいです。ソーレやマーレ、リフレッシュチケットなど子育て中に利用できるサービスがあり、とてもありがたいです。一方で市政ではないかもしれませんが夜間急病の際診ていただける病院がなかなか見つからないことや保育園に入り辛い点は不安を感じています。休日当番医や健診、行事等メールで様々な情報をいただいているので今後も有効活用していきたいと思っています。,4
保健・医療・福祉について,女性,30~39歳,高坂地区,小学生が使える施設を作ってほしい。児童館等。ソーレ、マーレはとても良いが、上の年齢の子が使用できる施設があるといいなと思います。,4
保健・医療・福祉について,女性,30~39歳,高坂地区,医療では、市民病院は外来案内がサイトで分かりずらいです。診療時間も短いので利用しづらいです。予約ならネットで簡単にできるようにおしてほしいです。,4
保健・医療・福祉について,女性,40~49歳,松山地区,共働きで子そだてしているのですが、病児保育や休日保育が利用したくても、できない、または、しにくい、という状況なので、改善をのぞみます。,4
保健・医療・福祉について,男性,50~59歳,松山地区,学童保育を充実させてほしい。3年生以上の定員がまったく不足しており、共働きで所得を増やすことが極めてし辛い状況にある。,4
保健・医療・福祉について,女性,50~59歳,唐子地区,医療費の助成の幅を増やして欲しい。(例えば、帯状疱疹のワクチン等),4
保健・医療・福祉について,女性,50~59歳,高坂地区,少子化の原因として不妊に対しても援助をしていただきたい。若い世代のブライダルチェック推進(例えば成人年齢で男女とも、任意で不妊チェックが出来る制度)があれば、早い段階で不妊の原因や治療が出来る。,4
保健・医療・福祉について,女性,70~79歳,松山地区,障害者のための生活サポートは良く利用させていただいております。大変たすかります。福祉関係は大変進んでいるとおもいます。,4
保健・医療・福祉について,女性,70~79歳,平野地区,高齢者の割合が増えて来て、免許証を返納した時に不便な所に住んでいる人の便利な移動手段が無いと日常生活にも支障をきたす。健康体操なども地域の公民館単位で出来ると良い。,4
保健・医療・福祉について,女性,70~79歳,野本地区,市民病院について、市民がもっと簡単に待ち時間少なく受診できる様にして欲しい。総合受付の窓口を増設して受付の混雑を解消できる様にして欲しい。会計の待ち時間を短縮して欲しい。救急をもっと受ける様にして欲しい。,4
教育・文化・スポーツについて,男性,30~39歳,松山地区,市で子供対象のイベントを定期的に行ってほしい,5
教育・文化・スポーツについて,女性,30~39歳,高坂地区,子どものフリースクールなど居場所のない子、不登校の子が安心できる場所をもっと作ってほしいです。高坂地区の子供の人数が増えているのに、小中学校の数が合っていないので教室の数が足りていないです。高坂地区にも中学を作ってほしいです。,5
教育・文化・スポーツについて,男性,40~49歳,平野地区,学校授業料、給食費など教育費の無償化,5
教育・文化・スポーツについて,女性,40~49歳,高坂地区,健康センターにプールか坂戸市、鴻巣市他近くの市町村の屋内プールを安く利用できるようにしてほしい。卓球場もつくってほしい。→中学生が学校以外で交流のもてる場所かつスポーツ推進,5
教育・文化・スポーツについて,女性,50~59歳,松山地区,大きな大会が出来るような観客席付きの体育館やグランドなりのスポーツ施設もあれば人がもっと集まると思う。,5
教育・文化・スポーツについて,女性,50~59歳,高坂地区,サッカー場が岩鼻や、リバーくらいしかない。天然芝、人工芝のグランドがあればいいと思う。スポーツ施設が少ないと思う。,5
教育・文化・スポーツについて,男性,60~69歳,野本地区,市民体育館は大変暑く(夏季)、熱中症になります。クーラー設置を要望します。,5
教育・文化・スポーツについて,男性,60~69歳,野本地区,「まちづくり、人づくり」の中心施設の一つに、図書館を位置づけると良いのではないか思っています。更なる利用しやすい工夫ある施設になると良いのではないかと思います。,5
教育・文化・スポーツについて,女性,60~69歳,野本地区,スリーデだけを市の目玉として頼っていても市の活性化は期待できない。歩けのまちを自称しているのなら、通年を通じての目玉となる観光事業を再考し、今の松活センターから駅にかけてのエリアを中心とした街づくりを整備し、東松山に来れば四季を通していつでも季節が楽しめ、ゆっくり疲れをいやせるような多目的施設を完備した総合型ウォーキングを中心としたまちづくり等で活気あるにぎやかなまちづくりを期待します。(川越市を参考に),5
教育・文化・スポーツについて,男性,70~79歳,大岡地区,当地区、大岡は、小学生の減少が・・・6、7人で6年間学ぶと言う事は競争や、団体生活の不備等で、大勢の中学校生活に入った場合、色々と問題が生じると思われます。早期の統合が必要では。,5
教育・文化・スポーツについて,男性,70~79歳,高坂地区,子どもの居場所づくりは大切。ぜひ児童館を造って欲しい。高坂駅西口の彫刻プロムナードは市の財産 観光スポットにあげられていないのは残念。もっと市民全体にアピールして欲しい。,5
教育・文化・スポーツについて,女性,70~79歳,松山地区,文化・芸術に溢れた街にして下さい。,5
教育・文化・スポーツについて,女性,80歳以上,高坂丘陵地区,(地区センター) や公園に子供用の用具がありますが、これからは老人が多くなるので、何時でもふらっと使える用具があるといいと思います。(例えば、筋トレになる様な用具),5
教育・文化・スポーツについて,女性,80歳以上,野本地区,スリーデーマーチ、20km20年位参加してましたが、年令と共に体力もなくなり今では思い出となりました。これからも続けて頂きたいです。,5
産業について,女性,40~49歳,平野地区,農林公園のカフェとひまわり畑が最近のお気に入りスポットです。東松山は緑が多い事が良さだと思うので、Heuvelさんの様なオシャレなお店が増えてくれたら、うれしいです。,6
産業について,女性,50~59歳,松山地区,若者が楽しめ施設がない。遊びに行くとなると子供達はみんな市外に行かなくてはならないので交通費はかかるし面倒。市内にアミューズメント施設があれば若者がもっと集まるのでは?,6
産業について,男性,60~69歳,野本地区,農政の問題・課題を積極的に取り組んでもらいたい。特に田・畑の有効利用・耕作放棄地対策等。特に田んぼに関しては、深刻な問題です。,6
産業について,男性,70~79歳,大岡地区,市町の大企業誘致の推進と有るが、誘致された企業を見ると、物流のターミナルが主で雇用促進に繋がる製造業の誘致を進めてもらいたい。(小川町のホンダの様な)。,6
産業について,男性,70~79歳,高坂丘陵地区,スリーデーマーチだけに留めず、遊歩道を整備し(周辺町も巻き込んで) ウォーキングの聖地にする。歴史、文化施設、公園他を経由、歩道沿に休憩所、カフェ、やきとり屋、入浴施設、宿泊(キャンプ場) 施設を設置。サイクリングロードの併設も有り。,6
産業について,男性,70~79歳,野本地区,東松山の北側地区(大岡周辺)が過疎化が進んでいる案として農林公園を中心として規模を拡大し市民が楽しめる商業施設等民間会社を含め検討していただきたい。,6
産業について,女性,70~79歳,高坂地区,産業(農業・商業)の活性化、東松山市内の商業の発展。市の特産品を作り市外からの人々を呼び寄せる。,6
情報について,女性,20~29歳,高坂丘陵地区,市からの補助などが分かるような発信が少ない。住民税が高い割に具体的な使い道、改善が分からない。,7
情報について,女性,50~59歳,松山地区,保健所に収容されている動物の迷子情報、里親探しの発信をして欲しい。動物にも優しいまちづくりをして欲しい。ペット同行可の避難所を作って欲しい。あれば分かりやすく情報を拡散してほしいです。,7
情報について,女性,60~69歳,松山地区,「広報ひがしまつやま」について、自治会から配布されているが、私のまわりの人はほとんど見ずに処分してしまう･･･と見ない人への配布はもったいないのではないか。紙の質が良すぎるのではないか･･･。,7
観光について,女性,30~39歳,高坂丘陵地区,埼玉県こども動物自然公園は全国的に見ても素晴らしい動物園なので、もっと観光資源としてアピールするべきだと思います。本場のオーストラリア以外で唯一見られるクオッカ、野生に限りなく近い環境で飼育されているフンボルトペンギンなどが見られ県外から来る価値は間違いなくある場所です。,8
観光について,男性,70~79歳,高坂地区,高坂駅西口の彫刻プロムナードは市の財産。観光スポットにあげられていないのは残念。もっと市民全体にアピールして欲しい。,8
市政について,男性,30~39歳,高坂地区,正規、非常勤に関わらず市職員数を増やして欲しいです。各担当窓口に行くと、どうも人が足りていない気がします。,9
市政について,女性,30~39歳,松山地区,市役所庁舎の老朽化が目立つ。案内板等も整理されておらず、後付けを繰り返し見辛い。転入の際、あちこちの窓口に手続きに行かされて大変だった。以前の自治体では総合窓口と言って、手続きをひとつの窓口でやってくれて便利だった(子供の医療証の発行から転校手続き、子供手当のことや国保のことまで)。イレギュラーな手続きでなけなれば、市役所内をぐるぐる回る必要もないので東松山市でも実践していただきたい。,9
市政について,男性,40~49歳,松山地区,市役所職員の皆様は東松山と市民のために誇りを持って頑張って下さい。,9
市政について,男性,40~49歳,唐子地区,高齢者が健康で生き生きした生活を送れるような東松山であれば、子供も増えていくのではないかと思います。何か他の市町村にない取り組みなどをやってみるとか新しい挑戦を積極的にやってほしいです。,9
市政について,男性,40~49歳,高坂地区,PayPay などのイベントをやって欲しい。,9
市政について,女性,40~49歳,平野地区,いろいろな手当の申請など簡単化していただいてネットで出来るようになると良いと思う。平日、市役所になかなか行けない人がほとんどだと思うので、日曜開庁の時に市民課以外の課も行けるようになると便利になると思う (月1回程度で)。,9
市政について,女性,40~49歳,唐子地区,まっくん&あゆみんやヤキトリや牡丹や梨など、東松山市の特産物のピンバッヂ (マグネットetc.)が入ったガチャガチャが市役所や公民館などにあれば楽しいです。ずんだもんのように擬人化したまっくん&あゆみんのキャラ展開も見てみたいです。,9
市政について,女性,60~69歳,高坂丘陵地区,他者に期待してばかりでも、仕方ない! と思っています。私もまだ市外に働いているので、東松山市に恩返しができていません。いずれ、勤務が終了したら、ボランティア活動をしていきたいと思います。「私に何ができるのか?」 今は「広報ひがしまつやま」を見ながら考えています。何たって、私のまわりにも、元気なお年寄りは、たくさんいます。私も含めて「お金はいらない!」 と言う方はいると思います。その分、元気をいただきます!ぜひ、声をかけてみてください。,9
市政について,男性,70~79歳,野本地区,各部署に改善テーマを設け、ムダ、ムリ、ムラを徹底的に行って下さい。(財務不足),9
その他,男性,20~29歳,大岡地区,東松山には愛着あります。未来に繋がるまちづくりが大事だと思います。,10
その他,男性,30~39歳,高坂地区,とても住みやすい街なので現状の路線を堅持してくれたらと思ってい ます。東松山市の公共施設は、歴史や趣きのある建物・施設が多いので下手に建て替えるのではなく、既存のものを長く活かすとこで、東松山の歴史に更なる重みと磨きがかかると信じています。私の生まれ故郷、東松山市が末永いものであることを願っています。,10
その他,男性,30~39歳,高坂地区,今後の発展に期待しています。子供が安心して安全に暮らせる町になることを期待。,10
その他,女性,30~39歳,高坂地区,高坂駅の周辺は、道路が整備されていたり、近くにショッピングモールやスーパーがあったり、公園や子育て支援センター、その他の施設でも子育て支援をやっていたり、緑もバランス良くあって住みやすい街だなと思います。一方で幹線道路が一車線しかなかったり、インター接続がものすごく悪かったりと、とても使いにくいなと感じる部分もあります。なので極端な部分はありますが、町の雰囲気も良く、みんな人柄も良いので今後何もなければ住み続けてもいいなと思える街です。公共施設も沢山あって、子育て世代にはもってこいです。,10
その他,女性,30~39歳,高坂地区,公園や自然が多く、医療費が免除されたりと、とても子育てしやすい街だと思います。,10
その他,女性,30~39歳,野本地区,外国人が増えていて治安が気になる,10
その他,女性,40~49歳,松山地区,道路環境の整備をまず何よりもお願いしたいです。あまりにも雑草が多く、市外から帰ってくると悲しい気持ちになります。とにかく汚く、文化的でない感じがします。センスを感じないまちづくりにがっかりしています。美しくなくとも機能的であったり、コンセプトを感じたり、素敵だと思える街にしてほしいです。愛せる街は治安も安定します。休みのたびに、帰ってくるたびに、悲しくなる街です。,10
その他,男性,50~59歳,松山地区,東松山市は住みやすい街で大好きです。これからも更に暮らしやすい魅力ある街づくりをお願いします。,10
その他,女性,50~59歳,高坂丘陵地区,目先の新しさや近代的な物ばかりではなく、人も環境も昔の良かった所は無くさないようにして欲しいです。,10
その他,女性,60~69歳,唐子地区,東松山出身者です。自分の子や孫に胸を張って東松山市は教育環境、また、住み良い町であると言いたいが、少子化も進み市内に百貨店や美術館(丸木はあるが)も無い現在、また小学校の閉鎖とかを考えると悲しいかな勧められない。東松山市に住む私達一人一人が郷土に誇りと自信を持ち安心安全、東松山にいると元気が出て安らげる街、となるよう、知恵を出し合いこれからの30年に期待し、自分もアピールし、出来ることを頑張りたい。,10
その他,男性,70~79歳,平野地区,他の成功モデルの自治体を参考にしながら20年、30年先を見据えた自然豊かな東松山市のまちづくりに取り組んで頂きたい。,10
その他,男性,70~79歳,唐子地区,市内に転入してきた方々と住民との交流機会が全くない現状を打破するための具体的な施策をお願いする。双方が接触する出会いが全くないことを改善したい。現在の地域の区長、班長、民生委員等は新旧住民の間を取り持つ手法を備えていないので、具体的な活動を双方に指導して欲しい。,10
